Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.000001	0.332202	0.277593	15.933908	43.262500	0.000000	
0.000001	0.182583	0.278682	18.591954	45.412500	43.262500	
0.000001	0.148263	0.277859	22.270115	47.237500	45.412500	
0.000001	0.126771	0.276712	26.954023	47.925000	47.237500	
0.000001	0.113729	0.277875	31.594828	48.500000	47.925000	
0.000001	0.104473	0.276898	35.574713	49.175000	48.500000	
0.000001	0.096796	0.276818	38.132184	49.687500	49.175000	
0.000001	0.090421	0.276512	40.933908	49.687500	49.687500	
0.000001	0.086708	0.275299	43.548851	49.737500	49.687500	
0.000001	0.078525	0.275696	46.120690	49.750000	49.737500	
0.000001	0.075293	0.273298	47.500000	49.775000	49.750000	
0.000001	0.072648	0.276867	49.899425	49.312500	49.775000	
0.000001	0.069141	0.278143	51.336207	49.675000	49.775000	
0.000001	0.065951	0.275894	52.586207	50.125000	49.775000	
0.000001	0.062012	0.277618	54.928161	49.862500	50.125000	
0.000001	0.059890	0.277112	55.057471	49.600000	50.125000	
0.000001	0.057511	0.275116	56.221264	49.762500	50.125000	
0.000001	0.056086	0.277227	57.327586	50.100000	50.125000	
0.000001	0.052425	0.277472	58.448276	50.350000	50.125000	
0.000001	0.052227	0.277899	59.181034	50.000000	50.350000	
0.000000	0.048979	0.278372	60.359195	49.900000	50.350000	
0.000000	0.047450	0.277765	59.813218	49.812500	50.350000	
0.000000	0.049189	0.277357	60.589080	49.887500	50.350000	
0.000000	0.047271	0.278120	60.933908	49.975000	50.350000	
0.000000	0.047210	0.277656	60.502874	49.850000	50.350000	
0.000000	0.047109	0.276671	61.537356	49.850000	50.350000	
0.000000	0.044558	0.276703	62.413793	49.762500	50.350000	
0.000000	0.045317	0.276691	61.695402	49.975000	50.350000	
0.000000	0.046067	0.277006	62.413793	49.900000	50.350000	
0.000000	0.046446	0.277496	61.623563	49.987500	50.350000	
0.000000	0.044868	0.276614	61.810345	49.950000	50.350000	
0.000000	0.043685	0.277526	62.686782	50.037500	50.350000	
0.000000	0.044312	0.277862	62.313218	49.987500	50.350000	
0.000000	0.043706	0.277692	63.247126	49.875000	50.350000	
0.000000	0.043601	0.278541	63.333333	50.075000	50.350000	
0.000000	0.044112	0.277598	63.045977	49.925000	50.350000	
0.000000	0.042619	0.276453	63.146552	49.862500	50.350000	
0.000000	0.043012	0.277033	63.750000	49.962500	50.350000	
0.000000	0.043605	0.276066	63.836207	50.075000	50.350000	
0.000000	0.042847	0.276897	63.721264	49.975000	50.350000	
