Epoch	Train_Loss	Val_mIoU	IoU_background	IoU_Baton	IoU_Bullet	
1.000000	0.119003	0.527941	0.983887	0.529773	0.070162	
2.000000	0.040768	0.668856	0.987312	0.591087	0.428169	
3.000000	0.032245	0.731060	0.988392	0.687073	0.517717	
4.000000	0.028517	0.738949	0.990693	0.716179	0.509976	
5.000000	0.024079	0.767190	0.990218	0.704875	0.606476	
6.000000	0.021107	0.778107	0.992096	0.743567	0.598658	
7.000000	0.020095	0.798226	0.992723	0.770345	0.631609	
8.000000	0.018169	0.790195	0.991989	0.758031	0.620564	
9.000000	0.017433	0.780775	0.992192	0.753023	0.597109	
10.000000	0.016434	0.789924	0.991917	0.723450	0.654404	
11.000000	0.018403	0.789399	0.991956	0.735163	0.641079	
12.000000	0.016953	0.761293	0.990874	0.673971	0.619033	
13.000000	0.015812	0.746300	0.991175	0.711653	0.536072	
14.000000	0.015536	0.700320	0.988940	0.601284	0.510737	
15.000000	0.015276	0.326216	0.974901	0.003749	0.000000	
16.000000	0.017902	0.324943	0.974829	0.000000	0.000000	
17.000000	0.015862	0.324943	0.974829	0.000000	0.000000	
18.000000	0.018137	0.324943	0.974829	0.000000	0.000000	
19.000000	0.015566	0.324943	0.974829	0.000000	0.000000	
20.000000	0.018602	0.324943	0.974829	0.000000	0.000000	
21.000000	0.018322	0.324943	0.974829	0.000000	0.000000	
22.000000	0.017518	0.324943	0.974829	0.000000	0.000000	
23.000000	0.022803	0.324943	0.974829	0.000000	0.000000	
24.000000	0.019301	0.324943	0.974829	0.000000	0.000000	
25.000000	0.014850	0.324943	0.974829	0.000000	0.000000	
26.000000	0.015240	0.324943	0.974829	0.000000	0.000000	
27.000000	0.016163	0.324943	0.974829	0.000000	0.000000	
28.000000	0.016305	0.324943	0.974829	0.000000	0.000000	
29.000000	0.013886	0.324943	0.974829	0.000000	0.000000	
30.000000	0.014139	0.324943	0.974829	0.000000	0.000000	
31.000000	0.012785	0.324943	0.974829	0.000000	0.000000	
32.000000	0.013946	0.324943	0.974829	0.000000	0.000000	
33.000000	0.014737	0.324943	0.974829	0.000000	0.000000	
34.000000	0.014435	0.324943	0.974829	0.000000	0.000000	
35.000000	0.013379	0.324943	0.974829	0.000000	0.000000	
36.000000	0.014121	0.324943	0.974829	0.000000	0.000000	
37.000000	0.012401	0.324943	0.974829	0.000000	0.000000	
38.000000	0.016345	0.324943	0.974829	0.000000	0.000000	
39.000000	0.012001	0.324943	0.974829	0.000000	0.000000	
40.000000	0.014240	0.324943	0.974829	0.000000	0.000000	
41.000000	0.013481	0.324943	0.974829	0.000000	0.000000	
42.000000	0.014212	0.324943	0.974829	0.000000	0.000000	
43.000000	0.015100	0.324943	0.974829	0.000000	0.000000	
44.000000	0.013469	0.324943	0.974829	0.000000	0.000000	
45.000000	0.013419	0.324943	0.974829	0.000000	0.000000	
46.000000	0.012139	0.324943	0.974829	0.000000	0.000000	
47.000000	0.010389	0.324943	0.974829	0.000000	0.000000	
48.000000	0.009188	0.324943	0.974829	0.000000	0.000000	
49.000000	0.013468	0.324943	0.974829	0.000000	0.000000	
50.000000	0.012641	0.324943	0.974829	0.000000	0.000000	
