Timestamp,Epoch,Train_Loss,Test_Loss,Test_mIoU
2025-12-11 10:25:29,1,0.292061,0.066678,0.478125
2025-12-11 10:38:51,2,0.057109,0.042874,0.584745
2025-12-11 10:52:16,3,0.041600,0.036321,0.616468
2025-12-11 11:05:49,4,0.035046,0.032826,0.642468
2025-12-11 11:19:07,5,0.031372,0.031479,0.652633
2025-12-11 11:37:53,6,0.028926,0.032027,0.644562
2025-12-11 11:51:00,7,0.027883,0.029860,0.627815
2025-12-11 12:04:10,8,0.026415,0.029214,0.650832
2025-12-11 12:17:20,9,0.025508,0.030619,0.650226
2025-12-11 12:30:52,10,0.024316,0.029488,0.652365
2025-12-11 12:44:20,11,0.023664,0.029643,0.649315
Timestamp,Epoch,Train_Loss,Test_Loss,Test_mIoU
2025-12-11 13:07:53,1,0.284214,0.066650,0.488189
2025-12-11 13:23:24,2,0.057559,0.043350,0.573449
Timestamp,Epoch,Train_Loss,Test_Loss,Test_mIoU
2025-12-11 13:56:04,1,0.289609,0.067336,0.491936
2025-12-11 14:08:42,2,0.057627,0.044484,0.586177
2025-12-11 14:25:15,3,0.042134,0.037637,0.598996
2025-12-11 14:42:04,4,0.035991,0.035050,0.610982
2025-12-11 14:54:58,5,0.031635,0.032588,0.638086
2025-12-11 15:07:57,6,0.029303,0.032708,0.632190
2025-12-11 15:21:11,7,0.027493,0.030824,0.639195
2025-12-11 15:34:30,8,0.026628,0.029930,0.644025
2025-12-11 15:47:48,9,0.025618,0.028946,0.648468
2025-12-11 16:01:02,10,0.024633,0.031614,0.654892
2025-12-11 16:14:20,11,0.023857,0.031404,0.650199
2025-12-11 16:27:32,12,0.023399,0.029702,0.641753
2025-12-11 16:40:49,13,0.022985,0.032094,0.633955
2025-12-11 16:54:03,14,0.023380,0.035282,0.644740
2025-12-11 17:07:21,15,0.023289,0.096057,0.470639
2025-12-11 17:20:22,16,0.024868,0.729381,0.369688
2025-12-11 17:33:13,17,0.027953,1.656990,0.371451
2025-12-11 17:46:01,18,0.026613,5.439742,0.371442
2025-12-11 17:58:48,19,0.029817,9.933676,0.371442
2025-12-11 18:11:37,20,0.033109,8.018775,0.371442
2025-12-11 18:24:24,21,0.029928,11.472395,0.371442
2025-12-11 18:37:11,22,0.031988,10.405346,0.371442
2025-12-11 18:49:58,23,0.029926,9.205659,0.371442
2025-12-11 19:02:46,24,0.028408,12.122095,0.371442
2025-12-11 19:15:34,25,0.027624,9.496431,0.371442
2025-12-11 19:28:22,26,0.028226,13.219943,0.371442
2025-12-11 19:41:10,27,0.026912,14.028001,0.371442
2025-12-11 19:53:58,28,0.026208,2.002373,0.371442
2025-12-11 20:06:47,29,0.026034,8.187889,0.371442
