Epoch	Train_Loss	Val_mIoU	Val_IoU_BG	Val_IoU_Player	
1.000000	0.430963	0.693336	0.981720	0.404952	
2.000000	0.221433	0.734081	0.988139	0.480023	
3.000000	0.149482	0.779630	0.990573	0.568687	
4.000000	0.111647	0.810817	0.991666	0.629968	
5.000000	0.086956	0.811747	0.992024	0.631471	
6.000000	0.071866	0.795820	0.991746	0.599893	
7.000000	0.060910	0.826616	0.992699	0.660532	
8.000000	0.051281	0.826834	0.992840	0.660829	
9.000000	0.045323	0.831201	0.993056	0.669345	
10.000000	0.040673	0.830615	0.993095	0.668135	
11.000000	0.036160	0.844817	0.993485	0.696150	
12.000000	0.033224	0.841543	0.993476	0.689611	
13.000000	0.031013	0.845927	0.993617	0.698237	
14.000000	0.028695	0.845323	0.993645	0.697001	
15.000000	0.027265	0.852175	0.993822	0.710527	
16.000000	0.025516	0.855756	0.993944	0.717567	
17.000000	0.024106	0.849260	0.993837	0.704683	
18.000000	0.023076	0.851316	0.993914	0.708717	
19.000000	0.021922	0.855951	0.994059	0.717844	
20.000000	0.021110	0.857509	0.994129	0.720888	
21.000000	0.020655	0.865568	0.994321	0.736816	
22.000000	0.019570	0.860913	0.994258	0.727567	
23.000000	0.018982	0.868738	0.994448	0.743028	
24.000000	0.018300	0.861956	0.994340	0.729573	
25.000000	0.018077	0.865918	0.994451	0.737386	
26.000000	0.017517	0.868713	0.994542	0.742883	
27.000000	0.017104	0.869823	0.994598	0.745047	
28.000000	0.016883	0.863636	0.994450	0.732823	
29.000000	0.016313	0.872494	0.994696	0.750292	
30.000000	0.015898	0.871824	0.994702	0.748945	
31.000000	0.015609	0.875890	0.994818	0.756963	
32.000000	0.015274	0.873370	0.994774	0.751965	
33.000000	0.015143	0.873274	0.994789	0.751760	
34.000000	0.014850	0.876966	0.994885	0.759047	
35.000000	0.014563	0.876119	0.994893	0.757345	
36.000000	0.014293	0.879558	0.994994	0.764123	
37.000000	0.014141	0.879898	0.995012	0.764785	
38.000000	0.013899	0.877864	0.994979	0.760749	
39.000000	0.013751	0.880919	0.995065	0.766773	
40.000000	0.013481	0.879438	0.995043	0.763833	
41.000000	0.013464	0.884616	0.995171	0.774061	
42.000000	0.013328	0.884087	0.995179	0.772995	
43.000000	0.013090	0.884758	0.995207	0.774309	
44.000000	0.012908	0.886492	0.995255	0.777730	
45.000000	0.012812	0.887663	0.995286	0.780040	
46.000000	0.012572	0.885088	0.995255	0.774922	
47.000000	0.012437	0.887222	0.995315	0.779129	
48.000000	0.012305	0.888516	0.995344	0.781687	
49.000000	0.012199	0.886045	0.995312	0.776779	
50.000000	0.012140	0.889118	0.995391	0.782846	
