Loss	Mean IoU	
2.406637	0.447812	
2.329724	0.392586	
1.762777	0.496092	
1.483654	0.447874	
1.118340	0.523575	
0.919052	0.477330	
0.761907	0.474315	
0.693032	0.489756	
0.500017	0.659279	
0.496807	0.540941	
0.411754	0.650100	
0.376191	0.582686	
0.399622	0.556159	
0.302476	0.634041	
0.286396	0.596519	
0.306625	0.596609	
0.261837	0.594388	
0.239218	0.632523	
0.221356	0.678394	
0.220093	0.613496	
0.230131	0.615689	
0.206045	0.614957	
0.203222	0.630314	
0.167998	0.687511	
0.236032	0.591271	
0.165242	0.489877	
0.197920	0.600998	
0.239920	0.559578	
0.168844	0.680709	
0.211815	0.669445	
0.173991	0.715791	
0.186640	0.655037	
0.225964	0.588878	
0.137262	0.710133	
0.167065	0.657724	
0.225991	0.572261	
0.147418	0.701447	
0.157820	0.718846	
0.182395	0.672161	
0.200342	0.604511	
0.191580	0.645152	
0.150267	0.490748	
0.175984	0.658697	
0.208299	0.608063	
0.134466	0.749634	
0.153168	0.664198	
0.130100	0.813900	
0.117498	0.782414	
0.149904	0.699299	
0.153061	0.695858	
0.140729	0.717101	
0.130362	0.786208	
0.115737	0.808680	
0.157955	0.746503	
0.132289	0.790304	
0.139493	0.747072	
0.152028	0.706598	
0.163165	0.708202	
0.115986	0.494598	
0.195587	0.627913	
0.117939	0.821818	
0.139302	0.693037	
0.121086	0.494598	
0.169516	0.595134	
0.121713	0.762115	
0.118568	0.792174	
0.134159	0.492116	
0.128790	0.492650	
0.122192	0.709298	
0.123632	0.796071	
