Learning Rate	Train Loss	Valid Loss	Train mIoU	Valid mIoU	Best mIoU	
0.000100	0.639205	0.089719	0.242383	0.432731	0.000000	
0.000100	0.062881	0.046233	0.474264	0.541781	0.432731	
0.000100	0.041895	0.037993	0.554476	0.588876	0.541781	
0.000100	0.034919	0.032471	0.587104	0.600918	0.588876	
0.000100	0.030779	0.032563	0.613118	0.608341	0.600918	
0.000100	0.028948	0.029976	0.620863	0.625575	0.608341	
0.000100	0.026535	0.030102	0.635803	0.618956	0.625575	
0.000100	0.026269	0.029366	0.637405	0.634415	0.625575	
0.000100	0.024424	0.028453	0.652583	0.638572	0.634415	
0.000100	0.023869	0.029688	0.656139	0.645389	0.638572	
0.000100	0.023105	0.031012	0.658804	0.623650	0.645389	
0.000100	0.022711	0.033129	0.663794	0.624387	0.645389	
0.000100	0.022704	0.030359	0.663436	0.639237	0.645389	
0.000100	0.022074	0.028669	0.669028	0.638297	0.645389	
0.000100	0.021981	0.030841	0.672357	0.628675	0.645389	
0.000100	0.021451	0.029669	0.675342	0.630920	0.645389	
0.000100	0.021321	0.031171	0.675782	0.635972	0.645389	
0.000100	0.021328	0.035518	0.675985	0.642606	0.645389	
0.000100	0.021266	0.034885	0.677759	0.624548	0.645389	
0.000100	0.020920	0.038514	0.680365	0.626002	0.645389	
0.000020	0.019157	0.039202	0.690234	0.624720	0.645389	
0.000020	0.019117	0.042397	0.690040	0.623833	0.645389	
0.000020	0.018852	0.046721	0.692398	0.628726	0.645389	
0.000020	0.018782	0.054255	0.692534	0.616635	0.645389	
0.000020	0.018754	0.047839	0.693387	0.614532	0.645389	
0.000020	0.019044	0.062585	0.691426	0.606612	0.645389	
0.000020	0.019108	0.054965	0.690428	0.600984	0.645389	
0.000020	0.019441	0.077098	0.686446	0.568509	0.645389	
0.000020	0.019804	0.068733	0.682407	0.589969	0.645389	
0.000020	0.019572	0.125066	0.678499	0.558633	0.645389	
0.000020	0.020333	0.117314	0.679976	0.541288	0.645389	
0.000020	0.020421	0.100160	0.677971	0.557486	0.645389	
0.000020	0.021494	0.184961	0.668313	0.386696	0.645389	
0.000020	0.021269	0.127909	0.671552	0.390644	0.645389	
0.000020	0.021458	0.110485	0.661644	0.465153	0.645389	
0.000020	0.022392	0.249223	0.657691	0.356998	0.645389	
0.000020	0.022997	0.150204	0.655298	0.418504	0.645389	
0.000020	0.021549	0.280986	0.656039	0.242334	0.645389	
0.000020	0.023396	0.310265	0.651416	0.315120	0.645389	
0.000020	0.022237	0.873535	0.651641	0.178746	0.645389	
0.000004	0.021155	0.106860	0.653177	0.535959	0.645389	
0.000004	0.021692	0.118034	0.654591	0.511521	0.645389	
0.000004	0.021116	0.134708	0.659171	0.531538	0.645389	
0.000004	0.021226	0.123174	0.657387	0.541836	0.645389	
0.000004	0.022068	0.122364	0.657647	0.549285	0.645389	
0.000004	0.020846	0.144565	0.655959	0.512338	0.645389	
0.000004	0.020651	0.156126	0.658737	0.524860	0.645389	
0.000004	0.021304	0.146833	0.655195	0.497488	0.645389	
0.000004	0.021214	0.083931	0.652977	0.428206	0.645389	
0.000004	0.022313	0.142563	0.652843	0.409586	0.645389	
