Learning Rate	Train Loss	Valid Loss	Train mIoU	Valid mIoU	Best mIoU	
0.000100	0.084287	0.051861	0.539795	0.601395	0.000000	
0.000100	0.042290	0.085770	0.592347	0.425649	0.601395	
0.000100	0.033378	0.037009	0.833101	0.789816	0.601395	
0.000100	0.027674	0.033671	0.873272	0.825456	0.789816	
0.000100	0.022439	0.033516	0.881438	0.822214	0.825456	
0.000100	0.019179	0.034977	0.883097	0.829444	0.825456	
0.000100	0.016027	0.137532	0.877405	0.568173	0.829444	
0.000100	0.013815	6.464750	0.875656	0.210900	0.829444	
0.000100	0.013446	0.059095	0.861502	0.776665	0.829444	
0.000100	0.013377	0.043323	0.857481	0.696699	0.829444	
0.000100	0.012665	0.245799	0.867019	0.552798	0.829444	
0.000100	0.012577	0.143375	0.863852	0.571518	0.829444	
0.000100	0.012080	0.727872	0.865926	0.485309	0.829444	
0.000100	0.011760	0.055990	0.873471	0.706238	0.829444	
0.000100	0.011104	0.084111	0.882445	0.722446	0.829444	
0.000100	0.010734	0.035470	0.872839	0.712349	0.829444	
0.000100	0.010350	0.762073	0.880831	0.548335	0.829444	
0.000100	0.011828	0.156664	0.875746	0.599344	0.829444	
0.000100	0.009518	0.375318	0.899816	0.550750	0.829444	
0.000100	0.009703	3.889039	0.882513	0.281603	0.829444	
0.000020	0.008196	0.028952	0.901190	0.688751	0.829444	
0.000020	0.007848	0.038958	0.895647	0.737939	0.829444	
0.000020	0.008419	0.078149	0.890969	0.655062	0.829444	
0.000020	0.007705	0.044211	0.891157	0.674236	0.829444	
0.000020	0.007664	0.039675	0.892511	0.680722	0.829444	
0.000020	0.007692	0.045214	0.899096	0.749511	0.829444	
0.000020	0.007398	0.114236	0.898958	0.615475	0.829444	
0.000020	0.007280	0.179361	0.894830	0.608826	0.829444	
0.000020	0.007377	0.080479	0.900183	0.645634	0.829444	
0.000020	0.007019	0.045632	0.906713	0.644753	0.829444	
0.000020	0.007069	0.058674	0.904681	0.665870	0.829444	
0.000020	0.008684	0.046389	0.904176	0.723677	0.829444	
0.000020	0.007711	0.051437	0.899389	0.637540	0.829444	
0.000020	0.006698	0.046822	0.902133	0.706433	0.829444	
0.000020	0.006828	0.097730	0.899157	0.585854	0.829444	
0.000020	0.006772	0.035803	0.892920	0.631437	0.829444	
0.000020	0.006754	0.049513	0.902276	0.697914	0.829444	
0.000020	0.006962	0.057220	0.905658	0.703916	0.829444	
0.000020	0.006384	0.046638	0.911349	0.705980	0.829444	
0.000020	0.006332	0.112855	0.905603	0.533153	0.829444	
0.000004	0.006202	0.046732	0.909762	0.742460	0.829444	
0.000004	0.006327	0.041352	0.903485	0.682509	0.829444	
0.000004	0.006273	0.042727	0.906422	0.623036	0.829444	
0.000004	0.006271	0.049028	0.906624	0.639659	0.829444	
0.000004	0.006217	0.041963	0.912254	0.652468	0.829444	
0.000004	0.006064	0.048438	0.910433	0.697696	0.829444	
0.000004	0.006195	0.051878	0.908869	0.671515	0.829444	
0.000004	0.006287	0.045329	0.906300	0.735410	0.829444	
0.000004	0.006981	0.046871	0.914388	0.633086	0.829444	
0.000004	0.006299	0.050448	0.912045	0.653772	0.829444	
