Loss	Mean IoU	
4.110943	0.668616	
1.815413	0.892054	
0.775898	0.956127	
0.464187	0.969176	
0.452720	0.959008	
0.407373	0.958726	
0.254868	0.973575	
0.226001	0.975338	
0.207629	0.976266	
0.192474	0.977583	
0.181687	0.978466	
0.173029	0.979204	
0.165826	0.979819	
0.160248	0.980272	
0.153668	0.981109	
0.151850	0.981413	
0.147169	0.981839	
0.143455	0.982414	
0.140399	0.982850	
0.137187	0.983255	
0.125834	0.984716	
0.123227	0.985160	
0.121869	0.985357	
0.120502	0.985541	
0.119463	0.985623	
0.118302	0.985778	
0.117379	0.985882	
0.116120	0.986058	
0.115510	0.986153	
0.115156	0.986233	
0.113599	0.986390	
0.113252	0.986464	
0.112532	0.986516	
0.111651	0.986614	
0.111191	0.986728	
0.110228	0.986795	
0.109254	0.986913	
0.109266	0.986954	
0.108669	0.986984	
0.107752	0.987137	
