Epoch	Loss 	    Train Mean IoU  Test_Loss   Test_Mean IoU 	
1       0.120114    0.984477        0.066395    0.990963
2       0.117284    0.984258        0.077103    0.992069
3       0.116749    0.984285        0.075040    0.990748
4       0.111769    0.984914        0.071221    0.991906
5       0.113214    0.984764        0.071964    0.996080
6       0.116775    0.984168        0.073639    0.991735
7       0.112339    0.984653        0.063029    0.989207
8       0.116372    0.984460        0.089758    0.997020
9       0.115729    0.983629        0.075862    0.995029
10      0.107127    0.985552        0.073366    0.990416
11      0.105409    0.985829        0.077660    0.991627
12      0.108888    0.985447        0.109593    0.992806
13      0.110788    0.984879        0.077862    0.993967
14      0.109018    0.985237        0.069433    0.995594
15      0.108286    0.985217        0.067491    0.989329
Resumed 
