Epoch	Loss 	Train Mean IoU 	Test_Loss 	Test_Mean IoU 	
1.000000	0.257259	0.975394	0.112842	0.994552	
2.000000	0.210839	0.976448	0.100706	0.981638	
3.000000	0.193757	0.977679	0.094435	0.993410	
4.000000	0.177041	0.978716	0.087924	0.986329	
5.000000	0.166777	0.979737	0.095697	0.989855	
6.000000	0.163029	0.980275	0.085284	0.991971	
7.000000	0.185087	0.979277	0.090065	0.992413	
8.000000	0.157148	0.980599	0.095249	0.995629	

Resumed 
9.000000	0.155528	0.981175	0.085028	0.992767	
10.000000	0.161177	0.980541	0.091607	0.988765	
11.000000	0.158831	0.980751	0.081116	0.992344	
12.000000	0.153856	0.981179	0.080399	0.988475	
13.000000	0.154300	0.981323	0.108673	0.994933	
14.000000	0.160056	0.980644	0.086759	0.992313	
15.000000	0.163198	0.981171	0.088033	0.996161	
