Learning Rate	Train Loss	Valid Loss	Train mIoU	Valid mIoU	Best mIoU	
0.000100	0.048546	0.053758	0.689131	0.628240	0.000000	
0.000100	0.021371	0.115843	0.728048	0.509665	0.628240	
0.000100	0.017304	0.608475	0.740661	0.460457	0.628240	
0.000100	0.014675	1.413438	0.753214	0.489141	0.628240	
0.000100	0.013130	0.050010	0.749814	0.670187	0.628240	
0.000100	0.011753	0.145937	0.760624	0.573585	0.670187	
0.000100	0.010688	0.255687	0.811426	0.533305	0.670187	
0.000100	0.009501	0.038847	0.888624	0.704152	0.670187	
0.000100	0.008804	0.269551	0.901185	0.508031	0.704152	
0.000100	0.008298	0.107193	0.898837	0.620693	0.704152	
0.000100	0.007377	0.448341	0.910692	0.547688	0.704152	
0.000100	0.007014	0.077970	0.908860	0.648868	0.704152	
0.000100	0.006493	0.057293	0.907638	0.676018	0.704152	
0.000100	0.005512	0.035722	0.896452	0.709582	0.704152	
0.000100	0.005093	0.223366	0.896739	0.612991	0.709582	
0.000100	0.004806	0.072334	0.886530	0.642976	0.709582	
0.000100	0.004720	0.726456	0.875856	0.520747	0.709582	
0.000100	0.004810	0.074933	0.877253	0.697434	0.709582	
0.000100	0.004277	0.125564	0.887994	0.475724	0.709582	
0.000100	0.004715	0.042423	0.886884	0.788693	0.709582	
0.000020	0.003835	0.042561	0.908705	0.755310	0.788693	
0.000020	0.003609	0.054038	0.910705	0.687383	0.788693	
0.000020	0.003513	0.038650	0.910999	0.726615	0.788693	
0.000020	0.003577	0.041522	0.910983	0.776278	0.788693	
0.000020	0.003456	0.063925	0.906216	0.676913	0.788693	
0.000020	0.003459	0.044692	0.908686	0.751879	0.788693	
0.000020	0.003480	0.047117	0.913715	0.662387	0.788693	
0.000020	0.003324	0.051712	0.909154	0.776805	0.788693	
0.000020	0.003463	0.040702	0.908424	0.733876	0.788693	
0.000020	0.003293	0.064304	0.911833	0.665052	0.788693	
0.000020	0.003263	0.042259	0.906326	0.799483	0.788693	
0.000020	0.003239	0.046708	0.909309	0.739891	0.799483	
0.000020	0.003207	0.046520	0.910963	0.747128	0.799483	
0.000020	0.003169	0.042370	0.912087	0.748971	0.799483	
0.000020	0.003229	0.040801	0.909695	0.768328	0.799483	
0.000020	0.003208	0.048787	0.905202	0.767145	0.799483	
0.000020	0.003169	0.045308	0.908647	0.718563	0.799483	
0.000020	0.003082	0.040201	0.911234	0.701175	0.799483	
0.000020	0.003115	0.045626	0.910794	0.740286	0.799483	
0.000020	0.003133	0.052207	0.911084	0.745009	0.799483	
0.000004	0.003126	0.039992	0.908224	0.636907	0.799483	
0.000004	0.003038	0.042815	0.908929	0.692033	0.799483	
0.000004	0.003031	0.047340	0.910779	0.768522	0.799483	
0.000004	0.002994	0.042493	0.916739	0.733976	0.799483	
0.000004	0.002996	0.042048	0.913284	0.704519	0.799483	
0.000004	0.003000	0.041155	0.915860	0.716059	0.799483	
0.000004	0.002989	0.038218	0.911956	0.700446	0.799483	
0.000004	0.003042	0.039988	0.914578	0.704386	0.799483	
0.000004	0.002975	0.042678	0.911646	0.693977	0.799483	
0.000004	0.002947	0.041257	0.917000	0.698441	0.799483	
